index,player_name,player_team,game_date,events,launch_speed,launch_angle,hit_distance_sc,hit_direction,total_dongs
991,Jake Marisnick,CHC,2021-04-23,home_run,106.4,21,394,Left,30
994,Randy Arozarena,TB,2021-04-23,home_run,109.5,30,445,Left-Center,30
996,Robbie Grossman,DET,2021-04-23,home_run,105.5,29,396,Left,30
1008,Fernando Tatis Jr.,SD,2021-04-23,home_run,115.9,27,419,Left,30
1009,Carson Kelly,ARI,2021-04-23,home_run,105.5,26,402,Left,30
1014,C.J. Cron,COL,2021-04-23,home_run,106.2,37,414,Right-Center,30
1029,Giancarlo Stanton,NYY,2021-04-23,home_run,118,18,429,Left,30
1032,Trevor Story,COL,2021-04-23,home_run,95,34,373,Left,30
1035,Rougned Odor,NYY,2021-04-23,home_run,103.1,31,385,Right,30
1039,Anthony Rizzo,CHC,2021-04-23,home_run,104.6,26,401,Right-Center,30
1047,Aaron Hicks,NYY,2021-04-23,home_run,105.6,35,397,Left-Center,30
1052,Adolis García,TEX,2021-04-23,home_run,102.1,37,368,Left,30
1055,Fernando Tatis Jr.,SD,2021-04-23,home_run,113.4,27,431,Left-Center,30
1065,Yadier Molina,STL,2021-04-23,home_run,103.5,26,400,Left,30
1074,Garrett Hampson,COL,2021-04-23,home_run,101.4,36,411,Left-Center,30
1078,Willson Contreras,CHC,2021-04-23,home_run,106.7,23,390,Left,30
1084,Kyle Seager,SEA,2021-04-23,home_run,104.3,31,421,Right,30
1086,Xander Bogaerts,BOS,2021-04-23,home_run,100.3,33,409,Left-Center,30
1089,Wil Myers,SD,2021-04-23,home_run,105.1,29,401,Left-Center,30
1113,Rhys Hoskins,PHI,2021-04-23,home_run,104.4,29,439,Left-Center,30
1128,Jazz Chisholm Jr.,MIA,2021-04-23,home_run,110.5,35,427,Right-Center,30
1137,Eugenio Suárez,CIN,2021-04-22,home_run,110.2,27,441,Left-Center,30
1142,Trent Grisham,SD,2021-04-22,home_run,107.6,29,419,Right,30
1159,Pete Alonso,NYM,2021-04-22,home_run,108.6,24,413,Left,30
1206,AJ Pollock,LAD,2021-04-22,home_run,102.5,27,394,Left,30
1217,Jesse Winker,CIN,2021-04-22,home_run,109.6,23,403,Left-Center,30
1265,Jonathan Schoop,DET,2021-04-21,home_run,106.3,25,403,Left,30
1267,Nelson Cruz,MIN,2021-04-21,home_run,110.1,23,422,Left,30
1270,Jorge Soler,KC,2021-04-21,home_run,112.9,25,422,Left,30
